Original Sentence,Stemmed Tokens,Stemmed Sentence
These are in place to minimise the risk of fires starting.,"place, minimis, risk, fire, start",place minimis risk fire start
"These bans don't just rule out open fires and solid-fuel barbecues, but also things like welding and using machinery that might cause sparks.","ban, nt, rule, open, fire, solidfuel, barbecu, also, thing, like, weld, use, machineri, might, caus, spark",ban nt rule open fire solidfuel barbecu also thing like weld use machineri might caus spark
Internet cafés are very common in the larger Australian cities and popular tourist destinations.,"internet, caf, common, larger, australian, citi, popular, tourist, destin",internet caf common larger australian citi popular tourist destin
"However, once you leave the major population centres, you might have trouble finding somewhere to log on.","howev, leav, major, popul, centr, might, troubl, find, somewher, log",howev leav major popul centr might troubl find somewher log
"Free wifi is getting more and more common (either with or without a code) in places like restaurants, some bars and coffee places and hotels.","free, wifi, get, common, either, without, code, place, like, restaur, bar, coffe, place, hotel",free wifi get common either without code place like restaur bar coffe place hotel
Sometimes a fee is required.,"sometim, fee, requir",sometim fee requir
"Australia is on a GSM 900/1800 network, so if you have an unlocked phone that works on those frequencies, you will be able to buy a prepaid SIM-card and stick into your phone when you're in Australia.","australia, gsm, network, unlock, phone, work, frequenc, abl, buy, prepaid, simcard, stick, phone, australia",australia gsm network unlock phone work frequenc abl buy prepaid simcard stick phone australia
You will receive a new Australian phone number with the SIM-card.,"receiv, new, australian, phone, number, simcard",receiv new australian phone number simcard
"To dial out of Australia use the prefix 0011, followed by the calling code of the country you are trying to reach, followed by the area code of the city/town (without the 0!)","dial, australia, use, prefix, follow, call, code, countri, tri, reach, follow, area, code, citytown, without",dial australia use prefix follow call code countri tri reach follow area code citytown without
and finally the phone number.,"final, phone, number",final phone number
"Within Australia, it is necessary to add an area code to the phone numbers if you are calling from outside the area.","within, australia, necessari, add, area, code, phone, number, call, outsid, area",within australia necessari add area code phone number call outsid area
"Below are Australia's area codes:
000 is the emergency telephone number in Australia, but the international GSM mobile emergency telephone number 112 also works on mobile phones.","australia, area, code, emerg, telephon, number, australia, intern, gsm, mobil, emerg, telephon, number, also, work, mobil, phone",australia area code emerg telephon number australia intern gsm mobil emerg telephon number also work mobil phone
Australia Post is the government's postal service.,"australia, post, govern, postal, servic",australia post govern postal servic
Most suburbs will have at least one post office.,"suburb, least, one, post, offic",suburb least one post offic
Opening times are mostly from around 8:00 or 9:00am to 5:00pm though larger ones keep longer hours sometimes.,"open, time, mostli, around, pm, though, larger, one, keep, longer, hour, sometim",open time mostli around pm though larger one keep longer hour sometim
A standard letter or postcard sent within Australia will cost $0.60.,"standard, letter, postcard, sent, within, australia, cost",standard letter postcard sent within australia cost
"Internationally, it costs $1.70 to send postcards anywhere in the world.","intern, cost, send, postcard, anywher, world",intern cost send postcard anywher world
Letters cost $1.85 to send within the Asia Pacific region and $2.60 to anywhere else in the world.[7].,"letter, cost, send, within, asia, pacif, region, anywher, els, world",letter cost send within asia pacif region anywher els world
It is also possible to send things as parcels or by express mail.,"also, possibl, send, thing, parcel, express, mail",also possibl send thing parcel express mail
"You can also use use private courier companies like TNT, UPS or DHL as they are competitive and reliable.","also, use, use, privat, courier, compani, like, tnt, up, dhl, competit, reliabl",also use use privat courier compani like tnt up dhl competit reliabl
"as well as Jeremy80 (9%), KoalaGirl (6%), Marisarite (4%), dr.pepper (4%), Hien (2%), marko7 (1%), mojorob (1%), connaust (1%), Lavafalls (1%), escapedesigners (1%), BradAldcroft (<1%), louwright (<1%), soliqa (<1%), Rena13 (<1%), Pinny (<1%), The LostRo (<1%), travelblogger (<1%), ascough (<1%), Sam I Am (<1%), KellieBarnes (<1%)
I spent a year living in and travelling through (part of) Australia, and returned a couple of years later to hit spots I still managed to miss.","well, jeremi, koalagirl, marisarit, drpepper, hien, marko, mojorob, connaust, lavafal, escapedesign, bradaldcroft, louwright, soliqa, rena, pinni, lostro, travelblogg, ascough, sam, kelliebarn, spent, year, live, travel, part, australia, return, coupl, year, later, hit, spot, still, manag, miss",well jeremi koalagirl marisarit drpepper hien marko mojorob connaust lavafal escapedesign bradaldcroft louwright soliqa rena pinni lostro travelblogg ascough sam kelliebarn spent year live travel part australia return coupl year later hit spot still manag miss
"I never made it further north on the west coast than the Pinnacles Desert, nor to Darwin (shame on me!","never, made, north, west, coast, pinnacl, desert, darwin, shame",never made north west coast pinnacl desert darwin shame
"), and avoided a lot of the more touristy spots on the East Coast, but other than that I explored most of Adelaide to Cairns, with emphasis on the Melbourne and Sydney area.","avoid, lot, touristi, spot, east, coast, explor, adelaid, cairn, emphasi, melbourn, sydney, area",avoid lot touristi spot east coast explor adelaid cairn emphasi melbourn sydney area
"I have travelled by car from Melbourne to Darwin and from Sydney to Cairns, both along the coast as well as through the Outback.","travel, car, melbourn, darwin, sydney, cairn, along, coast, well, outback",travel car melbourn darwin sydney cairn along coast well outback
Probably I can help you with some Outback questions and how to travel around by car.,"probabl, help, outback, question, travel, around, car",probabl help outback question travel around car
"I live in Melbourne, Australia.","live, melbourn, australia",live melbourn australia
"If you have any questions about what life is like here or what you should see while visiting, just drop me a note.","question, life, like, see, visit, drop, note",question life like see visit drop note
I'm always happy to help out.,"alway, happi, help",alway happi help
Touring the East Coast.Getting your bearings in Sydney.Great Barrier Reef trips.,"tour, east, coastget, bear, sydneygreat, barrier, reef, trip",tour east coastget bear sydneygreat barrier reef trip
"I currently live in Sydney, but I wasn't born here.","current, live, sydney, nt, born",current live sydney nt born
"I moved here two years ago with my family and have been attending uni here since then, so I've gotten to know lots of different areas of the city, and I have plenty of contacts if you need information about the Blue Mountains or other areas close to the city.","move, two, year, ago, famili, attend, uni, sinc, gotten, know, lot, differ, area, citi, plenti, contact, need, inform, blue, mountain, area, close, citi",move two year ago famili attend uni sinc gotten know lot differ area citi plenti contact need inform blue mountain area close citi
I can help orienting you as a traveller or as someone looking for real local flavour.,"help, orient, travel, someon, look, real, local, flavour",help orient travel someon look real local flavour
I also know my way around Melbourne as a traveller and can really help out with local restaurants to both Sydney and Melbourne!,"also, know, way, around, melbourn, travel, realli, help, local, restaur, sydney, melbourn",also know way around melbourn travel realli help local restaur sydney melbourn
This is version 286.,version,version
"Last edited at 11:13 on Oct 1, 19 by Peter.","last, edit, oct, peter",last edit oct peter
"### Italy ###
For only $3 per month you can become a Travellerspoint Supporter
              and enjoy an ad free experience.","itali, per, month, becom, travellerspoint, support, enjoy, ad, free, experi",itali per month becom travellerspoint support enjoy ad free experi
"Italy is the home of culture, some of soccer's finest teams, the Roman Catholic church and quality food and dishes.","itali, home, cultur, soccer, finest, team, roman, cathol, church, qualiti, food, dish",itali home cultur soccer finest team roman cathol church qualiti food dish
"Quite simply, this is a place of such diversity that the only thing that will stop you spending the rest of your days here is an empty wallet.","quit, simpli, place, divers, thing, stop, spend, rest, day, empti, wallet",quit simpli place divers thing stop spend rest day empti wallet
"Museums display some of the most beautiful art works ever made; but the living, breathing Italy that operates outside museum doors has enough beauty to suffice the average visitor.","museum, display, beauti, art, work, ever, made, live, breath, itali, oper, outsid, museum, door, enough, beauti, suffic, averag, visitor",museum display beauti art work ever made live breath itali oper outsid museum door enough beauti suffic averag visitor
"Stroll down the streets of Rome, Florence, Naples or Venice, and you will be struck by the wealth of history and culture tied up in the cobbled streets, baroque styled buildings, or beautiful chapels.","stroll, street, rome, florenc, napl, venic, struck, wealth, histori, cultur, tie, cobbl, street, baroqu, style, build, beauti, chapel",stroll street rome florenc napl venic struck wealth histori cultur tie cobbl street baroqu style build beauti chapel
"Natural beauty abounds, too: gorgeous stretches of coastline; the Alps sealing off the northern border; and the people, of course.","natur, beauti, abound, gorgeou, stretch, coastlin, alp, seal, northern, border, peopl, cours",natur beauti abound gorgeou stretch coastlin alp seal northern border peopl cours
"Best of all, Italy is home of pizza, pasta and cappuccino, so expect a culinary experience superior to any Pizza Hut meal you've ever had.","best, itali, home, pizza, pasta, cappuccino, expect, culinari, experi, superior, pizza, hut, meal, ever",best itali home pizza pasta cappuccino expect culinari experi superior pizza hut meal ever
Many have flocked to Tuscany and Umbria to find the real Italy.,"mani, flock, tuscani, umbria, find, real, itali",mani flock tuscani umbria find real itali
But much to be explored are the Le Marche and latterly the Abruzzo - where property prices are beginning to soar!,"much, explor, le, march, latterli, abruzzo, properti, price, begin, soar",much explor le march latterli abruzzo properti price begin soar
"Each region has its own particular choice of dishes
The history of the Italian peninsula can be divided quite neatly in seven distinct periods, spanning almost three millennia of human civilisation.","region, particular, choic, dish, histori, italian, peninsula, divid, quit, neatli, seven, distinct, period, span, almost, three, millennia, human, civilis",region particular choic dish histori italian peninsula divid quit neatli seven distinct period span almost three millennia human civilis
"The earliest evidence of human presence on the Italian peninsula dates back to 16,000 BC, although nothing much can be said of the period before the late Iron Age (approximately 800 BC) when early Greeks founded colonies on the southeast of the peninsula and Sicily.","earliest, evid, human, presenc, italian, peninsula, date, back, bc, although, noth, much, said, period, late, iron, age, approxim, bc, earli, greek, found, coloni, southeast, peninsula, sicili",earliest evid human presenc italian peninsula date back bc although noth much said period late iron age approxim bc earli greek found coloni southeast peninsula sicili
"Etruscan presence in central Italy dates back to the same period, who were to rule these lands as a kingdom that prospered almost 700 years.","etruscan, presenc, central, itali, date, back, period, rule, land, kingdom, prosper, almost, year",etruscan presenc central itali date back period rule land kingdom prosper almost year
The principal remains of Etruscan civilisation can still be visited near Cerveteri; much of the Greek remains can be seen in Campania and on Sicily.,"princip, remain, etruscan, civilis, still, visit, near, cerveteri, much, greek, remain, seen, campania, sicili",princip remain etruscan civilis still visit near cerveteri much greek remain seen campania sicili
The Roman period consists of three main eras.,"roman, period, consist, three, main, era",roman period consist three main era
"The era of (Etruscan) kings (753 BC - 509 BC), during this time Rome did not extended beyond present day Italy.","era, etruscan, king, bc, bc, time, rome, extend, beyond, present, day, itali",era etruscan king bc bc time rome extend beyond present day itali
During the Etruscan era there was very little Greek influence.,"etruscan, era, littl, greek, influenc",etruscan era littl greek influenc
"The Roman Republic, which went from 509 BC to 31 BC, this was the time that the senate ruled Rome and it eventually became more and more corrupt.","roman, republ, went, bc, bc, time, senat, rule, rome, eventu, becam, corrupt",roman republ went bc bc time senat rule rome eventu becam corrupt
This lead to Julius Caesar's storming into Rome with his soldiers and making himself dictator.,"lead, juliu, caesar, storm, rome, soldier, make, dictat",lead juliu caesar storm rome soldier make dictat
After the Senate organized an assassination which made Rome descend into chaos.,"senat, organ, assassin, made, rome, descend, chao",senat organ assassin made rome descend chao
"Augustus Caesar came to power starting the Roman Empire, which went from 31 BC to 476 AD.","augustu, caesar, came, power, start, roman, empir, went, bc, ad",augustu caesar came power start roman empir went bc ad
With the rise of Christianity the empire changed greatly and started to deteriorate.,"rise, christian, empir, chang, greatli, start, deterior",rise christian empir chang greatli start deterior
The empire was split in 286 and at roughly the same time christianity was legalized.,"empir, split, roughli, time, christian, legal",empir split roughli time christian legal
In 476 AD due to great corruption and inability even to protect the city of Rome the western empire fell.,"ad, due, great, corrupt, inabl, even, protect, citi, rome, western, empir, fell",ad due great corrupt inabl even protect citi rome western empir fell
Although most areas continued to keep Roman laws and legal systems and the legacy of the Catholic Church can be felt to this day.,"although, area, continu, keep, roman, law, legal, system, legaci, cathol, church, felt, day",although area continu keep roman law legal system legaci cathol church felt day
"After 476 AD, the Eastern Roman Empire, Byzantine Empire, remained together until 1453 AD with its capital in current day Istanbul.","ad, eastern, roman, empir, byzantin, empir, remain, togeth, ad, capit, current, day, istanbul",ad eastern roman empir byzantin empir remain togeth ad capit current day istanbul
"Several times it tried to retake the western empire but was never successful because of cultural difference between Catholics and Orthodox beliefs, also the identity of tribes had grown so strong that rebuilding a larger Roman identity could not be done.","sever, time, tri, retak, western, empir, never, success, cultur, differ, cathol, orthodox, belief, also, ident, tribe, grown, strong, rebuild, larger, roman, ident, could, done",sever time tri retak western empir never success cultur differ cathol orthodox belief also ident tribe grown strong rebuild larger roman ident could done
"After the fall of the Roman Empire, Italy existed of many smaller states and city states, and was invaded many times by foreign forces.","fall, roman, empir, itali, exist, mani, smaller, state, citi, state, invad, mani, time, foreign, forc",fall roman empir itali exist mani smaller state citi state invad mani time foreign forc
"Slowly out of this patchwork of states, some bigger more dominant states emerged in the late Middle Ages.","slowli, patchwork, state, bigger, domin, state, emerg, late, middl, age",slowli patchwork state bigger domin state emerg late middl age
"The kingdom of Naples controlled the south, the Republic of Florence, the Republic of Siena and the Papal States the centre, the Genoese and the Milanese the north and west, and the Venetians the east.","kingdom, napl, control, south, republ, florenc, republ, siena, papal, state, centr, genoes, milanes, north, west, venetian, east",kingdom napl control south republ florenc republ siena papal state centr genoes milanes north west venetian east
Sicily and Sardinia were controled by the Spanish Kingdom of Aragon.,"sicili, sardinia, control, spanish, kingdom, aragon",sicili sardinia control spanish kingdom aragon
"The Renaissance was an extremely important period in Italian history, and in European history, and brought along numerous political, philosophical, literary, cultural, social and religious reforms.","renaiss, extrem, import, period, italian, histori, european, histori, brought, along, numer, polit, philosoph, literari, cultur, social, religi, reform",renaiss extrem import period italian histori european histori brought along numer polit philosoph literari cultur social religi reform
"The Renaissance was so called because it was a ""rebirth"" of many classical ideas that had long been buried in the chapters of classical Antiquity.","renaiss, call, rebirth, mani, classic, idea, long, buri, chapter, classic, antiqu",renaiss call rebirth mani classic idea long buri chapter classic antiqu
"During the Renaissance Florence became the most important city in the region, and many of the most famous artists, like Botticelli, Da Vinci and Michelangelo worked there.","renaiss, florenc, becam, import, citi, region, mani, famou, artist, like, botticelli, da, vinci, michelangelo, work",renaiss florenc becam import citi region mani famou artist like botticelli da vinci michelangelo work
"This all happened under the rule of the Medici family which was almighty for some centuries, and had family members elected as Pope.","happen, rule, medici, famili, almighti, centuri, famili, member, elect, pope",happen rule medici famili almighti centuri famili member elect pope
"During the Renaissance some of the most famous pieces of arts were created, including the Mona Lisa by Leonardo da Vinci and the most important one: The paintings at the Sistine Chappel by Michelangelo.","renaiss, famou, piec, art, creat, includ, mona, lisa, leonardo, da, vinci, import, one, paint, sistin, chappel, michelangelo",renaiss famou piec art creat includ mona lisa leonardo da vinci import one paint sistin chappel michelangelo
"From the late 15th century France and Spain, competed to conquer the several kingdoms.","late, th, centuri, franc, spain, compet, conquer, sever, kingdom",late th centuri franc spain compet conquer sever kingdom
Spain succeeded in this and took firm control over the country.,"spain, succeed, took, firm, control, countri",spain succeed took firm control countri
"In the south this control was the thoughest, and is the cause for the economical division between the north and the south today.","south, control, thoughest, caus, econom, divis, north, south, today",south control thoughest caus econom divis north south today
"After the treaty of Utrecht in 1713, it was Austria which were the dominant force in Italy, after it acquired the State of Milan and the Kingdom of Naples.","treati, utrecht, austria, domin, forc, itali, acquir, state, milan, kingdom, napl",treati utrecht austria domin forc itali acquir state milan kingdom napl
"The French revolution, and other revolutions taking place in Europe, sparked the idea that a united Italy could be possible on the peninsula.","french, revolut, revolut, take, place, europ, spark, idea, unit, itali, could, possibl, peninsula",french revolut revolut take place europ spark idea unit itali could possibl peninsula
"It took three wars to achieve an independent and unified Italy, but that goal was finally realised in 1870, when the French, which controlled the Papal States, abandoned their positions in Rome during the Franco-Prussian War.","took, three, war, achiev, independ, unifi, itali, goal, final, realis, french, control, papal, state, abandon, posit, rome, francoprussian, war",took three war achiev independ unifi itali goal final realis french control papal state abandon posit rome francoprussian war
Soon after that Rome became the capital of the Kingdom of Italy.,"soon, rome, becam, capit, kingdom, itali",soon rome becam capit kingdom itali
"In the last decades of the 19th century Italy developed into a colonial power by adding the colonies of Somalia, Eritrea and later Libya and the Dodecanese (a group of what are now Greek Islands, but where conquered from Turkey).","last, decad, th, centuri, itali, develop, coloni, power, ad, coloni, somalia, eritrea, later, libya, dodecanes, group, greek, island, conquer, turkey",last decad th centuri itali develop coloni power ad coloni somalia eritrea later libya dodecanes group greek island conquer turkey
In all cases these colonies were taken by force.,"case, coloni, taken, forc",case coloni taken forc
"Until 1915 Italy was neutral in World War I, but became involved with the signing of the treaty of London.","itali, neutral, world, war, becam, involv, sign, treati, london",itali neutral world war becam involv sign treati london
"As a result of that Italy received obtained just Bolzano-Bozen, Trento, Trieste and Istria after the war, as compensation.","result, itali, receiv, obtain, bolzanobozen, trento, triest, istria, war, compens",result itali receiv obtain bolzanobozen trento triest istria war compens
This however was less than what was promised when signing the treaty.,"howev, less, promis, sign, treati",howev less promis sign treati
"In the years after the war the power struggle that took place in the whole of Europe between liberals, communists and fascists also reached Italy.","year, war, power, struggl, took, place, whole, europ, liber, communist, fascist, also, reach, itali",year war power struggl took place whole europ liber communist fascist also reach itali
"With the liberals supporting the fascists to prevent a socialist state, Mussolini could rise to power in Italy, leading Italy into World War II on the side of Nazi-Germany.","liber, support, fascist, prevent, socialist, state, mussolini, could, rise, power, itali, lead, itali, world, war, ii, side, nazigermani",liber support fascist prevent socialist state mussolini could rise power itali lead itali world war ii side nazigermani
"During the war Italy lost all of its colonies, was invaded in june 1943 and remained a battleground for the remaining years of the war.","war, itali, lost, coloni, invad, june, remain, battleground, remain, year, war",war itali lost coloni invad june remain battleground remain year war
"After the war, the Kingdom became a republic, and became a member of NATO, and a founding member of the E.E.C.","war, kingdom, becam, republ, becam, member, nato, found, member, eec",war kingdom becam republ becam member nato found member eec
(later the E.U.).,"later, eu",later eu
"Italy is located in Southern Europe and is sometimes also called the boot of Europe, which describes best the shape of the peninsula.","itali, locat, southern, europ, sometim, also, call, boot, europ, describ, best, shape, peninsula",itali locat southern europ sometim also call boot europ describ best shape peninsula
"It lies between latitudes 35° and 47° N, and longitudes 6° and 19° E. In the north of the peninsula you can find the the Alps.","lie, latitud, n, longitud, e, north, peninsula, find, alp",lie latitud n longitud e north peninsula find alp
The Apennine mountains streche far to the south and form the backbone of the country.,"apennin, mountain, strech, far, south, form, backbon, countri",apennin mountain strech far south form backbon countri
"Of the total surface area of Italy, 75% is covered by hills and mountains.","total, surfac, area, itali, cover, hill, mountain",total surfac area itali cover hill mountain
"Italy's highest point is located on Mont Blanc (4,810 metres.","itali, highest, point, locat, mont, blanc, metr",itali highest point locat mont blanc metr
"In Italy there are a number of vulcano's of which Mount Vesuvius, Mount Etna, Vulcano and the Stromboli are active.","itali, number, vulcano, mount, vesuviu, mount, etna, vulcano, stromboli, activ",itali number vulcano mount vesuviu mount etna vulcano stromboli activ
Vesuvius is the only active volcano in mainland Europe and is most famous for the destruction of Pompeii and Herculanum.,"vesuviu, activ, volcano, mainland, europ, famou, destruct, pompeii, herculanum",vesuviu activ volcano mainland europ famou destruct pompeii herculanum
"Several islands and hills have been created by volcanic activity, and there is still a large active caldera, the Campi Flegrei north-west of Naples.","sever, island, hill, creat, volcan, activ, still, larg, activ, caldera, campi, flegrei, northwest, napl",sever island hill creat volcan activ still larg activ caldera campi flegrei northwest napl
"The Po, Italy's longest river (652 kilometres0), flows from the Alps on the western border with France and crosses the Padan plain on its way to the Adriatic Sea.","po, itali, longest, river, kilometr, flow, alp, western, border, franc, cross, padan, plain, way, adriat, sea",po itali longest river kilometr flow alp western border franc cross padan plain way adriat sea
"The five largest lakes are Garda, Maggiore, Como, Trasimeno and Bolsena.","five, largest, lake, garda, maggior, como, trasimeno, bolsena",five largest lake garda maggior como trasimeno bolsena
The largest flat area is the Po valley in the north.,"largest, flat, area, po, valley, north",largest flat area po valley north
"Besides the peninsula the territory of Italy also comprises several islands, of which the islands of Sicily and Sardinia are the largests.","besid, peninsula, territori, itali, also, compris, sever, island, island, sicili, sardinia, largest",besid peninsula territori itali also compris sever island island sicili sardinia largest
"Italy has international borders with France, Switzerland, Austria and Slovenia in the north.","itali, intern, border, franc, switzerland, austria, slovenia, north",itali intern border franc switzerland austria slovenia north
"Inside of Italy, it has borders with the two small states of San Marino and Vatican City.","insid, itali, border, two, small, state, san, marino, vatican, citi",insid itali border two small state san marino vatican citi
"Italy is divided into 20 regions, which fall into the following areas.","itali, divid, region, fall, follow, area",itali divid region fall follow area
Florence was the birth place of the renaissance and the home to some of the world's greatest minds and artists.,"florenc, birth, place, renaiss, home, world, greatest, mind, artist",florenc birth place renaiss home world greatest mind artist
Amazing churches with works of art designed by some of the most renowned artists in the world to museums that have paintings and sculptures that the entire world knows like The David.,"amaz, church, work, art, design, renown, artist, world, museum, paint, sculptur, entir, world, know, like, david",amaz church work art design renown artist world museum paint sculptur entir world know like david
"Any trip to Florence is not complete without wine, cheese or seeing the tombs of some of the world's most well known minds.","trip, florenc, complet, without, wine, chees, see, tomb, world, well, known, mind",trip florenc complet without wine chees see tomb world well known mind
Milan is located in the north of the country and is mainly known as a major international fashion city.,"milan, locat, north, countri, mainli, known, major, intern, fashion, citi",milan locat north countri mainli known major intern fashion citi
"Apart from this, the city has many cultural monuments to visit, like the Duomo, one of the largest Gothic churches in the world.","apart, citi, mani, cultur, monument, visit, like, duomo, one, largest, gothic, church, world",apart citi mani cultur monument visit like duomo one largest gothic church world
"The city has almost 4 million inhabitants, making it one of the largest cities in Italy.","citi, almost, million, inhabit, make, one, largest, citi, itali",citi almost million inhabit make one largest citi itali
The canal district is one of the best places for outdoor eats and great Italian cuisine!,"canal, district, one, best, place, outdoor, eat, great, italian, cuisin",canal district one best place outdoor eat great italian cuisin
All roads lead to Rome and this city is a great place to visit.,"road, lead, rome, citi, great, place, visit",road lead rome citi great place visit
"From amazing Roman ruins to Catholic churches that can shock and inspire any first time travellers to the veterans, this is a place where history and culture come alive in stunning ways.","amaz, roman, ruin, cathol, church, shock, inspir, first, time, travel, veteran, place, histori, cultur, come, aliv, stun, way",amaz roman ruin cathol church shock inspir first time travel veteran place histori cultur come aliv stun way
Rome is a city that can consume an entire vacation and where anyone can find something to love.,"rome, citi, consum, entir, vacat, anyon, find, someth, love",rome citi consum entir vacat anyon find someth love
"Canals, romance and a former world power, Venice is completely amazing.","canal, romanc, former, world, power, venic, complet, amaz",canal romanc former world power venic complet amaz
Built on a series of islands and reclaimed land Venice grew into a naval super power that controlled the Mediterranean world for several centuries.,"built, seri, island, reclaim, land, venic, grew, naval, super, power, control, mediterranean, world, sever, centuri",built seri island reclaim land venic grew naval super power control mediterranean world sever centuri
"Today it is known for romance, amazing seafood, churches and being a truly unique city in the world.","today, known, romanc, amaz, seafood, church, truli, uniqu, citi, world",today known romanc amaz seafood church truli uniqu citi world
No trip to Venice is complete without a stroll in Saint Marks Square.,"trip, venic, complet, without, stroll, saint, mark, squar",trip venic complet without stroll saint mark squar
Venice© NantesFCOther CitiesBergamo - smaller city in the north with excellent food and easy access to many other places.,"venic, nantesfcoth, citiesbergamo, smaller, citi, north, excel, food, easi, access, mani, place",venic nantesfcoth citiesbergamo smaller citi north excel food easi access mani place
"A city in two parts: ancient hilltop core and lower 1600s-onwards 'modern' centre.Turin - in the northwest.Naples - southwest of Rome on the coast, famous for nearby Pompeii, Herculaneum and Vesuvius.Catania - second city of Sicily.Pisa - northwest, near Florence.","citi, two, part, ancient, hilltop, core, lower, sonward, modern, centreturin, northwestnapl, southwest, rome, coast, famou, nearbi, pompeii, herculaneum, vesuviuscatania, second, citi, sicilypisa, northwest, near, florenc",citi two part ancient hilltop core lower sonward modern centreturin northwestnapl southwest rome coast famou nearbi pompeii herculaneum vesuviuscatania second citi sicilypisa northwest near florenc
"Famous for its leaning tower but with much more to offer.Siena - in Toscane, with UNESCO-listed historical centre and famous for its Palio (horse race).Bari - southeastern port city with ancient roots and a fascinating, atmospheric historical core.Palermo - capital and largest city of Sicily.Genoa - northwestern port city.Bologna - northeast, famous for its food and with some excellent historical sites.","famou, lean, tower, much, offersiena, toscan, unescolist, histor, centr, famou, palio, hors, race, bari, southeastern, port, citi, ancient, root, fascin, atmospher, histor, corepalermo, capit, largest, citi, sicilygenoa, northwestern, port, citybologna, northeast, famou, food, excel, histor, site",famou lean tower much offersiena toscan unescolist histor centr famou palio hors race bari southeastern port citi ancient root fascin atmospher histor corepalermo capit largest citi sicilygenoa northwestern port citybologna northeast famou food excel histor site
"UNESCO-listed Ravenna is nearby.Trieste - northeastern coastal city.Verona - central north, Roman amphitheatre, interesting historical centre and particularly famous for Shakespeare's 'Romeo and Juliet'.Brindisi - southeastern port city with Roman roots.Lecce - On the heel of the peninsula in the region called Salento together with Otranto and Gallipoli, magical places in a perfect combination of sea and Baroque.Ancona - central west along the coast.Modena - northern Italy, famous for its history with sports cars like Ferrari.","unescolist, ravenna, nearbytriest, northeastern, coastal, cityverona, central, north, roman, amphitheatr, interest, histor, centr, particularli, famou, shakespear, romeo, julietbrindisi, southeastern, port, citi, roman, rootslecc, heel, peninsula, region, call, salento, togeth, otranto, gallipoli, magic, place, perfect, combin, sea, baroqueancona, central, west, along, coastmodena, northern, itali, famou, histori, sport, car, like, ferrari",unescolist ravenna nearbytriest northeastern coastal cityverona central north roman amphitheatr interest histor centr particularli famou shakespear romeo julietbrindisi southeastern port citi roman rootslecc heel peninsula region call salento togeth otranto gallipoli magic place perfect combin sea baroqueancona central west along coastmodena northern itali famou histori sport car like ferrari
"Pompeii is a Roman city, near current day Naples, that was buried in ash by an eruption of Mount Vesuvius in 79 AD.","pompeii, roman, citi, near, current, day, napl, buri, ash, erupt, mount, vesuviu, ad",pompeii roman citi near current day napl buri ash erupt mount vesuviu ad
The ash from this eruption blanketed the city and killing everyone that lived there.,"ash, erupt, blanket, citi, kill, everyon, live",ash erupt blanket citi kill everyon live
"A nice side affect of the ash was that is preserved the city in perfect shape, like a snap shot taken in time.","nice, side, affect, ash, preserv, citi, perfect, shape, like, snap, shot, taken, time",nice side affect ash preserv citi perfect shape like snap shot taken time
Although not the biggest or most important city in the Roman Empire it was large city and gives people a chance to see hoe regular and wealthy Romans lived their lives.,"although, biggest, import, citi, roman, empir, larg, citi, give, peopl, chanc, see, hoe, regular, wealthi, roman, live, live",although biggest import citi roman empir larg citi give peopl chanc see hoe regular wealthi roman live live
This is a great sight and one of the best ruins in the world.,"great, sight, one, best, ruin, world",great sight one best ruin world
The Colosseum is the largest Roman amphitheater every built.,"colosseum, largest, roman, amphitheat, everi, built",colosseum largest roman amphitheat everi built
Its construction was completed in 80 AD and it has been attracting spectators ever since.,"construct, complet, ad, attract, spectat, ever, sinc",construct complet ad attract spectat ever sinc
At its heigh it could hold over fifty thousand blood thirsty people.,"heigh, could, hold, fifti, thousand, blood, thirsti, peopl",heigh could hold fifti thousand blood thirsti peopl
Although the current day visitor just wants to marvel in its awe and wonder the average Roman citizen wanted to see battles to the death between gladiators.,"although, current, day, visitor, want, marvel, awe, wonder, averag, roman, citizen, want, see, battl, death, gladiat",although current day visitor want marvel awe wonder averag roman citizen want see battl death gladiat
Today the Colosseum is one of the most popular sights in Rome.,"today, colosseum, one, popular, sight, rome",today colosseum one popular sight rome
"To many the Roman Forum may just look like a huge field littered with rocks, but you have to remember that this once was the focal point of an empire that lasted a thousand years.","mani, roman, forum, may, look, like, huge, field, litter, rock, rememb, focal, point, empir, last, thousand, year",mani roman forum may look like huge field litter rock rememb focal point empir last thousand year
"The Forum was layed out along side the Via Sacra, which leads from the Colosseum to Capitol Hill.","forum, lay, along, side, via, sacra, lead, colosseum, capitol, hill",forum lay along side via sacra lead colosseum capitol hill
"In the forum you will find the ruins of many temples and buildings, but also some buildings that survived.","forum, find, ruin, mani, templ, build, also, build, surviv",forum find ruin mani templ build also build surviv
Venice is a truly amazing city.,"venic, truli, amaz, citi",venic truli amaz citi
Little buildings built on little islands that slowly grew together with narrow alleys and little canals linking them.,"littl, build, built, littl, island, slowli, grew, togeth, narrow, alley, littl, canal, link",littl build built littl island slowli grew togeth narrow alley littl canal link
One can spend days wandering the streets of Venice taking in all the beauty and glory.,"one, spend, day, wander, street, venic, take, beauti, glori",one spend day wander street venic take beauti glori
The Grand Canal of Venice runs through the city in a S-shape pattern and links the city.,"grand, canal, venic, run, citi, sshape, pattern, link, citi",grand canal venic run citi sshape pattern link citi
