Original Sentence,Lemmatized Tokens,Lemmatized Sentence
"Stroll down the streets of Rome, Florence, Naples or Venice, and you will be struck by the wealth of history and culture tied up in the cobbled streets, baroque styled buildings, or beautiful chapels.","stroll, street, rome, florence, naples, venice, struck, wealth, history, culture, tied, cobbled, street, baroque, styled, building, beautiful, chapel",stroll street rome florence naples venice struck wealth history culture tied cobbled street baroque styled building beautiful chapel
"Natural beauty abounds, too: gorgeous stretches of coastline; the Alps sealing off the northern border; and the people, of course.","natural, beauty, abounds, gorgeous, stretch, coastline, alp, sealing, northern, border, people, course",natural beauty abounds gorgeous stretch coastline alp sealing northern border people course
"Best of all, Italy is home of pizza, pasta and cappuccino, so expect a culinary experience superior to any Pizza Hut meal you've ever had.","best, italy, home, pizza, pasta, cappuccino, expect, culinary, experience, superior, pizza, hut, meal, ever",best italy home pizza pasta cappuccino expect culinary experience superior pizza hut meal ever
Many have flocked to Tuscany and Umbria to find the real Italy.,"many, flocked, tuscany, umbria, find, real, italy",many flocked tuscany umbria find real italy
But much to be explored are the Le Marche and latterly the Abruzzo - where property prices are beginning to soar!,"much, explored, le, marche, latterly, abruzzo, property, price, beginning, soar",much explored le marche latterly abruzzo property price beginning soar
"Each region has its own particular choice of dishes
The history of the Italian peninsula can be divided quite neatly in seven distinct periods, spanning almost three millennia of human civilisation.","region, particular, choice, dish, history, italian, peninsula, divided, quite, neatly, seven, distinct, period, spanning, almost, three, millennium, human, civilisation",region particular choice dish history italian peninsula divided quite neatly seven distinct period spanning almost three millennium human civilisation
"The earliest evidence of human presence on the Italian peninsula dates back to 16,000 BC, although nothing much can be said of the period before the late Iron Age (approximately 800 BC) when early Greeks founded colonies on the southeast of the peninsula and Sicily.","earliest, evidence, human, presence, italian, peninsula, date, back, bc, although, nothing, much, said, period, late, iron, age, approximately, bc, early, greek, founded, colony, southeast, peninsula, sicily",earliest evidence human presence italian peninsula date back bc although nothing much said period late iron age approximately bc early greek founded colony southeast peninsula sicily
"Etruscan presence in central Italy dates back to the same period, who were to rule these lands as a kingdom that prospered almost 700 years.","etruscan, presence, central, italy, date, back, period, rule, land, kingdom, prospered, almost, year",etruscan presence central italy date back period rule land kingdom prospered almost year
The principal remains of Etruscan civilisation can still be visited near Cerveteri; much of the Greek remains can be seen in Campania and on Sicily.,"principal, remains, etruscan, civilisation, still, visited, near, cerveteri, much, greek, remains, seen, campania, sicily",principal remains etruscan civilisation still visited near cerveteri much greek remains seen campania sicily
The Roman period consists of three main eras.,"roman, period, consists, three, main, era",roman period consists three main era
"The era of (Etruscan) kings (753 BC - 509 BC), during this time Rome did not extended beyond present day Italy.","era, etruscan, king, bc, bc, time, rome, extended, beyond, present, day, italy",era etruscan king bc bc time rome extended beyond present day italy
During the Etruscan era there was very little Greek influence.,"etruscan, era, little, greek, influence",etruscan era little greek influence
"The Roman Republic, which went from 509 BC to 31 BC, this was the time that the senate ruled Rome and it eventually became more and more corrupt.","roman, republic, went, bc, bc, time, senate, ruled, rome, eventually, became, corrupt",roman republic went bc bc time senate ruled rome eventually became corrupt
This lead to Julius Caesar's storming into Rome with his soldiers and making himself dictator.,"lead, julius, caesar, storming, rome, soldier, making, dictator",lead julius caesar storming rome soldier making dictator
After the Senate organized an assassination which made Rome descend into chaos.,"senate, organized, assassination, made, rome, descend, chaos",senate organized assassination made rome descend chaos
"Augustus Caesar came to power starting the Roman Empire, which went from 31 BC to 476 AD.","augustus, caesar, came, power, starting, roman, empire, went, bc, ad",augustus caesar came power starting roman empire went bc ad
With the rise of Christianity the empire changed greatly and started to deteriorate.,"rise, christianity, empire, changed, greatly, started, deteriorate",rise christianity empire changed greatly started deteriorate
The empire was split in 286 and at roughly the same time christianity was legalized.,"empire, split, roughly, time, christianity, legalized",empire split roughly time christianity legalized
In 476 AD due to great corruption and inability even to protect the city of Rome the western empire fell.,"ad, due, great, corruption, inability, even, protect, city, rome, western, empire, fell",ad due great corruption inability even protect city rome western empire fell
Although most areas continued to keep Roman laws and legal systems and the legacy of the Catholic Church can be felt to this day.,"although, area, continued, keep, roman, law, legal, system, legacy, catholic, church, felt, day",although area continued keep roman law legal system legacy catholic church felt day
"After 476 AD, the Eastern Roman Empire, Byzantine Empire, remained together until 1453 AD with its capital in current day Istanbul.","ad, eastern, roman, empire, byzantine, empire, remained, together, ad, capital, current, day, istanbul",ad eastern roman empire byzantine empire remained together ad capital current day istanbul
"Several times it tried to retake the western empire but was never successful because of cultural difference between Catholics and Orthodox beliefs, also the identity of tribes had grown so strong that rebuilding a larger Roman identity could not be done.","several, time, tried, retake, western, empire, never, successful, cultural, difference, catholic, orthodox, belief, also, identity, tribe, grown, strong, rebuilding, larger, roman, identity, could, done",several time tried retake western empire never successful cultural difference catholic orthodox belief also identity tribe grown strong rebuilding larger roman identity could done
"After the fall of the Roman Empire, Italy existed of many smaller states and city states, and was invaded many times by foreign forces.","fall, roman, empire, italy, existed, many, smaller, state, city, state, invaded, many, time, foreign, force",fall roman empire italy existed many smaller state city state invaded many time foreign force
"Slowly out of this patchwork of states, some bigger more dominant states emerged in the late Middle Ages.","slowly, patchwork, state, bigger, dominant, state, emerged, late, middle, age",slowly patchwork state bigger dominant state emerged late middle age
"The kingdom of Naples controlled the south, the Republic of Florence, the Republic of Siena and the Papal States the centre, the Genoese and the Milanese the north and west, and the Venetians the east.","kingdom, naples, controlled, south, republic, florence, republic, siena, papal, state, centre, genoese, milanese, north, west, venetian, east",kingdom naples controlled south republic florence republic siena papal state centre genoese milanese north west venetian east
Sicily and Sardinia were controled by the Spanish Kingdom of Aragon.,"sicily, sardinia, controled, spanish, kingdom, aragon",sicily sardinia controled spanish kingdom aragon
"The Renaissance was an extremely important period in Italian history, and in European history, and brought along numerous political, philosophical, literary, cultural, social and religious reforms.","renaissance, extremely, important, period, italian, history, european, history, brought, along, numerous, political, philosophical, literary, cultural, social, religious, reform",renaissance extremely important period italian history european history brought along numerous political philosophical literary cultural social religious reform
"The Renaissance was so called because it was a ""rebirth"" of many classical ideas that had long been buried in the chapters of classical Antiquity.","renaissance, called, rebirth, many, classical, idea, long, buried, chapter, classical, antiquity",renaissance called rebirth many classical idea long buried chapter classical antiquity
"During the Renaissance Florence became the most important city in the region, and many of the most famous artists, like Botticelli, Da Vinci and Michelangelo worked there.","renaissance, florence, became, important, city, region, many, famous, artist, like, botticelli, da, vinci, michelangelo, worked",renaissance florence became important city region many famous artist like botticelli da vinci michelangelo worked
"This all happened under the rule of the Medici family which was almighty for some centuries, and had family members elected as Pope.","happened, rule, medici, family, almighty, century, family, member, elected, pope",happened rule medici family almighty century family member elected pope
"During the Renaissance some of the most famous pieces of arts were created, including the Mona Lisa by Leonardo da Vinci and the most important one: The paintings at the Sistine Chappel by Michelangelo.","renaissance, famous, piece, art, created, including, mona, lisa, leonardo, da, vinci, important, one, painting, sistine, chappel, michelangelo",renaissance famous piece art created including mona lisa leonardo da vinci important one painting sistine chappel michelangelo
"From the late 15th century France and Spain, competed to conquer the several kingdoms.","late, th, century, france, spain, competed, conquer, several, kingdom",late th century france spain competed conquer several kingdom
Spain succeeded in this and took firm control over the country.,"spain, succeeded, took, firm, control, country",spain succeeded took firm control country
"In the south this control was the thoughest, and is the cause for the economical division between the north and the south today.","south, control, thoughest, cause, economical, division, north, south, today",south control thoughest cause economical division north south today
"After the treaty of Utrecht in 1713, it was Austria which were the dominant force in Italy, after it acquired the State of Milan and the Kingdom of Naples.","treaty, utrecht, austria, dominant, force, italy, acquired, state, milan, kingdom, naples",treaty utrecht austria dominant force italy acquired state milan kingdom naples
"The French revolution, and other revolutions taking place in Europe, sparked the idea that a united Italy could be possible on the peninsula.","french, revolution, revolution, taking, place, europe, sparked, idea, united, italy, could, possible, peninsula",french revolution revolution taking place europe sparked idea united italy could possible peninsula
"It took three wars to achieve an independent and unified Italy, but that goal was finally realised in 1870, when the French, which controlled the Papal States, abandoned their positions in Rome during the Franco-Prussian War.","took, three, war, achieve, independent, unified, italy, goal, finally, realised, french, controlled, papal, state, abandoned, position, rome, francoprussian, war",took three war achieve independent unified italy goal finally realised french controlled papal state abandoned position rome francoprussian war
Soon after that Rome became the capital of the Kingdom of Italy.,"soon, rome, became, capital, kingdom, italy",soon rome became capital kingdom italy
"In the last decades of the 19th century Italy developed into a colonial power by adding the colonies of Somalia, Eritrea and later Libya and the Dodecanese (a group of what are now Greek Islands, but where conquered from Turkey).","last, decade, th, century, italy, developed, colonial, power, adding, colony, somalia, eritrea, later, libya, dodecanese, group, greek, island, conquered, turkey",last decade th century italy developed colonial power adding colony somalia eritrea later libya dodecanese group greek island conquered turkey
In all cases these colonies were taken by force.,"case, colony, taken, force",case colony taken force
"Until 1915 Italy was neutral in World War I, but became involved with the signing of the treaty of London.","italy, neutral, world, war, became, involved, signing, treaty, london",italy neutral world war became involved signing treaty london
"As a result of that Italy received obtained just Bolzano-Bozen, Trento, Trieste and Istria after the war, as compensation.","result, italy, received, obtained, bolzanobozen, trento, trieste, istria, war, compensation",result italy received obtained bolzanobozen trento trieste istria war compensation
This however was less than what was promised when signing the treaty.,"however, less, promised, signing, treaty",however less promised signing treaty
"In the years after the war the power struggle that took place in the whole of Europe between liberals, communists and fascists also reached Italy.","year, war, power, struggle, took, place, whole, europe, liberal, communist, fascist, also, reached, italy",year war power struggle took place whole europe liberal communist fascist also reached italy
"With the liberals supporting the fascists to prevent a socialist state, Mussolini could rise to power in Italy, leading Italy into World War II on the side of Nazi-Germany.","liberal, supporting, fascist, prevent, socialist, state, mussolini, could, rise, power, italy, leading, italy, world, war, ii, side, nazigermany",liberal supporting fascist prevent socialist state mussolini could rise power italy leading italy world war ii side nazigermany
"During the war Italy lost all of its colonies, was invaded in june 1943 and remained a battleground for the remaining years of the war.","war, italy, lost, colony, invaded, june, remained, battleground, remaining, year, war",war italy lost colony invaded june remained battleground remaining year war
"After the war, the Kingdom became a republic, and became a member of NATO, and a founding member of the E.E.C.","war, kingdom, became, republic, became, member, nato, founding, member, eec",war kingdom became republic became member nato founding member eec
(later the E.U.).,"later, eu",later eu
"Italy is located in Southern Europe and is sometimes also called the boot of Europe, which describes best the shape of the peninsula.","italy, located, southern, europe, sometimes, also, called, boot, europe, describes, best, shape, peninsula",italy located southern europe sometimes also called boot europe describes best shape peninsula
"It lies between latitudes 35° and 47° N, and longitudes 6° and 19° E. In the north of the peninsula you can find the the Alps.","lie, latitude, n, longitude, e, north, peninsula, find, alp",lie latitude n longitude e north peninsula find alp
The Apennine mountains streche far to the south and form the backbone of the country.,"apennine, mountain, streche, far, south, form, backbone, country",apennine mountain streche far south form backbone country
"Of the total surface area of Italy, 75% is covered by hills and mountains.","total, surface, area, italy, covered, hill, mountain",total surface area italy covered hill mountain
"Italy's highest point is located on Mont Blanc (4,810 metres.","italy, highest, point, located, mont, blanc, metre",italy highest point located mont blanc metre
"In Italy there are a number of vulcano's of which Mount Vesuvius, Mount Etna, Vulcano and the Stromboli are active.","italy, number, vulcano, mount, vesuvius, mount, etna, vulcano, stromboli, active",italy number vulcano mount vesuvius mount etna vulcano stromboli active
Vesuvius is the only active volcano in mainland Europe and is most famous for the destruction of Pompeii and Herculanum.,"vesuvius, active, volcano, mainland, europe, famous, destruction, pompeii, herculanum",vesuvius active volcano mainland europe famous destruction pompeii herculanum
"Several islands and hills have been created by volcanic activity, and there is still a large active caldera, the Campi Flegrei north-west of Naples.","several, island, hill, created, volcanic, activity, still, large, active, caldera, campi, flegrei, northwest, naples",several island hill created volcanic activity still large active caldera campi flegrei northwest naples
"The Po, Italy's longest river (652 kilometres0), flows from the Alps on the western border with France and crosses the Padan plain on its way to the Adriatic Sea.","po, italy, longest, river, kilometre, flow, alp, western, border, france, cross, padan, plain, way, adriatic, sea",po italy longest river kilometre flow alp western border france cross padan plain way adriatic sea
"The five largest lakes are Garda, Maggiore, Como, Trasimeno and Bolsena.","five, largest, lake, garda, maggiore, como, trasimeno, bolsena",five largest lake garda maggiore como trasimeno bolsena
The largest flat area is the Po valley in the north.,"largest, flat, area, po, valley, north",largest flat area po valley north
"Besides the peninsula the territory of Italy also comprises several islands, of which the islands of Sicily and Sardinia are the largests.","besides, peninsula, territory, italy, also, comprises, several, island, island, sicily, sardinia, largests",besides peninsula territory italy also comprises several island island sicily sardinia largests
"Italy has international borders with France, Switzerland, Austria and Slovenia in the north.","italy, international, border, france, switzerland, austria, slovenia, north",italy international border france switzerland austria slovenia north
"Inside of Italy, it has borders with the two small states of San Marino and Vatican City.","inside, italy, border, two, small, state, san, marino, vatican, city",inside italy border two small state san marino vatican city
"Italy is divided into 20 regions, which fall into the following areas.","italy, divided, region, fall, following, area",italy divided region fall following area
Florence was the birth place of the renaissance and the home to some of the world's greatest minds and artists.,"florence, birth, place, renaissance, home, world, greatest, mind, artist",florence birth place renaissance home world greatest mind artist
Amazing churches with works of art designed by some of the most renowned artists in the world to museums that have paintings and sculptures that the entire world knows like The David.,"amazing, church, work, art, designed, renowned, artist, world, museum, painting, sculpture, entire, world, know, like, david",amazing church work art designed renowned artist world museum painting sculpture entire world know like david
"Any trip to Florence is not complete without wine, cheese or seeing the tombs of some of the world's most well known minds.","trip, florence, complete, without, wine, cheese, seeing, tomb, world, well, known, mind",trip florence complete without wine cheese seeing tomb world well known mind
Milan is located in the north of the country and is mainly known as a major international fashion city.,"milan, located, north, country, mainly, known, major, international, fashion, city",milan located north country mainly known major international fashion city
"Apart from this, the city has many cultural monuments to visit, like the Duomo, one of the largest Gothic churches in the world.","apart, city, many, cultural, monument, visit, like, duomo, one, largest, gothic, church, world",apart city many cultural monument visit like duomo one largest gothic church world
"The city has almost 4 million inhabitants, making it one of the largest cities in Italy.","city, almost, million, inhabitant, making, one, largest, city, italy",city almost million inhabitant making one largest city italy
The canal district is one of the best places for outdoor eats and great Italian cuisine!,"canal, district, one, best, place, outdoor, eats, great, italian, cuisine",canal district one best place outdoor eats great italian cuisine
All roads lead to Rome and this city is a great place to visit.,"road, lead, rome, city, great, place, visit",road lead rome city great place visit
"From amazing Roman ruins to Catholic churches that can shock and inspire any first time travellers to the veterans, this is a place where history and culture come alive in stunning ways.","amazing, roman, ruin, catholic, church, shock, inspire, first, time, traveller, veteran, place, history, culture, come, alive, stunning, way",amazing roman ruin catholic church shock inspire first time traveller veteran place history culture come alive stunning way
Rome is a city that can consume an entire vacation and where anyone can find something to love.,"rome, city, consume, entire, vacation, anyone, find, something, love",rome city consume entire vacation anyone find something love
"Canals, romance and a former world power, Venice is completely amazing.","canal, romance, former, world, power, venice, completely, amazing",canal romance former world power venice completely amazing
Built on a series of islands and reclaimed land Venice grew into a naval super power that controlled the Mediterranean world for several centuries.,"built, series, island, reclaimed, land, venice, grew, naval, super, power, controlled, mediterranean, world, several, century",built series island reclaimed land venice grew naval super power controlled mediterranean world several century
"Today it is known for romance, amazing seafood, churches and being a truly unique city in the world.","today, known, romance, amazing, seafood, church, truly, unique, city, world",today known romance amazing seafood church truly unique city world
No trip to Venice is complete without a stroll in Saint Marks Square.,"trip, venice, complete, without, stroll, saint, mark, square",trip venice complete without stroll saint mark square
Venice© NantesFCOther CitiesBergamo - smaller city in the north with excellent food and easy access to many other places.,"venice, nantesfcother, citiesbergamo, smaller, city, north, excellent, food, easy, access, many, place",venice nantesfcother citiesbergamo smaller city north excellent food easy access many place
"A city in two parts: ancient hilltop core and lower 1600s-onwards 'modern' centre.Turin - in the northwest.Naples - southwest of Rome on the coast, famous for nearby Pompeii, Herculaneum and Vesuvius.Catania - second city of Sicily.Pisa - northwest, near Florence.","city, two, part, ancient, hilltop, core, lower, sonwards, modern, centreturin, northwestnaples, southwest, rome, coast, famous, nearby, pompeii, herculaneum, vesuviuscatania, second, city, sicilypisa, northwest, near, florence",city two part ancient hilltop core lower sonwards modern centreturin northwestnaples southwest rome coast famous nearby pompeii herculaneum vesuviuscatania second city sicilypisa northwest near florence
"Famous for its leaning tower but with much more to offer.Siena - in Toscane, with UNESCO-listed historical centre and famous for its Palio (horse race).Bari - southeastern port city with ancient roots and a fascinating, atmospheric historical core.Palermo - capital and largest city of Sicily.Genoa - northwestern port city.Bologna - northeast, famous for its food and with some excellent historical sites.","famous, leaning, tower, much, offersiena, toscane, unescolisted, historical, centre, famous, palio, horse, race, bari, southeastern, port, city, ancient, root, fascinating, atmospheric, historical, corepalermo, capital, largest, city, sicilygenoa, northwestern, port, citybologna, northeast, famous, food, excellent, historical, site",famous leaning tower much offersiena toscane unescolisted historical centre famous palio horse race bari southeastern port city ancient root fascinating atmospheric historical corepalermo capital largest city sicilygenoa northwestern port citybologna northeast famous food excellent historical site
"UNESCO-listed Ravenna is nearby.Trieste - northeastern coastal city.Verona - central north, Roman amphitheatre, interesting historical centre and particularly famous for Shakespeare's 'Romeo and Juliet'.Brindisi - southeastern port city with Roman roots.Lecce - On the heel of the peninsula in the region called Salento together with Otranto and Gallipoli, magical places in a perfect combination of sea and Baroque.Ancona - central west along the coast.Modena - northern Italy, famous for its history with sports cars like Ferrari.","unescolisted, ravenna, nearbytrieste, northeastern, coastal, cityverona, central, north, roman, amphitheatre, interesting, historical, centre, particularly, famous, shakespeare, romeo, julietbrindisi, southeastern, port, city, roman, rootslecce, heel, peninsula, region, called, salento, together, otranto, gallipoli, magical, place, perfect, combination, sea, baroqueancona, central, west, along, coastmodena, northern, italy, famous, history, sport, car, like, ferrari",unescolisted ravenna nearbytrieste northeastern coastal cityverona central north roman amphitheatre interesting historical centre particularly famous shakespeare romeo julietbrindisi southeastern port city roman rootslecce heel peninsula region called salento together otranto gallipoli magical place perfect combination sea baroqueancona central west along coastmodena northern italy famous history sport car like ferrari
"Pompeii is a Roman city, near current day Naples, that was buried in ash by an eruption of Mount Vesuvius in 79 AD.","pompeii, roman, city, near, current, day, naples, buried, ash, eruption, mount, vesuvius, ad",pompeii roman city near current day naples buried ash eruption mount vesuvius ad
The ash from this eruption blanketed the city and killing everyone that lived there.,"ash, eruption, blanketed, city, killing, everyone, lived",ash eruption blanketed city killing everyone lived
"A nice side affect of the ash was that is preserved the city in perfect shape, like a snap shot taken in time.","nice, side, affect, ash, preserved, city, perfect, shape, like, snap, shot, taken, time",nice side affect ash preserved city perfect shape like snap shot taken time
Although not the biggest or most important city in the Roman Empire it was large city and gives people a chance to see hoe regular and wealthy Romans lived their lives.,"although, biggest, important, city, roman, empire, large, city, give, people, chance, see, hoe, regular, wealthy, roman, lived, life",although biggest important city roman empire large city give people chance see hoe regular wealthy roman lived life
This is a great sight and one of the best ruins in the world.,"great, sight, one, best, ruin, world",great sight one best ruin world
The Colosseum is the largest Roman amphitheater every built.,"colosseum, largest, roman, amphitheater, every, built",colosseum largest roman amphitheater every built
Its construction was completed in 80 AD and it has been attracting spectators ever since.,"construction, completed, ad, attracting, spectator, ever, since",construction completed ad attracting spectator ever since
At its heigh it could hold over fifty thousand blood thirsty people.,"heigh, could, hold, fifty, thousand, blood, thirsty, people",heigh could hold fifty thousand blood thirsty people
Although the current day visitor just wants to marvel in its awe and wonder the average Roman citizen wanted to see battles to the death between gladiators.,"although, current, day, visitor, want, marvel, awe, wonder, average, roman, citizen, wanted, see, battle, death, gladiator",although current day visitor want marvel awe wonder average roman citizen wanted see battle death gladiator
Today the Colosseum is one of the most popular sights in Rome.,"today, colosseum, one, popular, sight, rome",today colosseum one popular sight rome
"To many the Roman Forum may just look like a huge field littered with rocks, but you have to remember that this once was the focal point of an empire that lasted a thousand years.","many, roman, forum, may, look, like, huge, field, littered, rock, remember, focal, point, empire, lasted, thousand, year",many roman forum may look like huge field littered rock remember focal point empire lasted thousand year
"The Forum was layed out along side the Via Sacra, which leads from the Colosseum to Capitol Hill.","forum, layed, along, side, via, sacrum, lead, colosseum, capitol, hill",forum layed along side via sacrum lead colosseum capitol hill
"In the forum you will find the ruins of many temples and buildings, but also some buildings that survived.","forum, find, ruin, many, temple, building, also, building, survived",forum find ruin many temple building also building survived
Venice is a truly amazing city.,"venice, truly, amazing, city",venice truly amazing city
Little buildings built on little islands that slowly grew together with narrow alleys and little canals linking them.,"little, building, built, little, island, slowly, grew, together, narrow, alley, little, canal, linking",little building built little island slowly grew together narrow alley little canal linking
One can spend days wandering the streets of Venice taking in all the beauty and glory.,"one, spend, day, wandering, street, venice, taking, beauty, glory",one spend day wandering street venice taking beauty glory
The Grand Canal of Venice runs through the city in a S-shape pattern and links the city.,"grand, canal, venice, run, city, sshape, pattern, link, city",grand canal venice run city sshape pattern link city
"Like all major highways it is constantly busy with traffic, but unlike the highways of the modern world the Grand Canal is teaming with the hustle and bustle of thousands of boats.","like, major, highway, constantly, busy, traffic, unlike, highway, modern, world, grand, canal, teaming, hustle, bustle, thousand, boat",like major highway constantly busy traffic unlike highway modern world grand canal teaming hustle bustle thousand boat
Standing on one of the few bridges that crosses the Grand Canal a traveller can enjoy the activity below.,"standing, one, bridge, cross, grand, canal, traveller, enjoy, activity",standing one bridge cross grand canal traveller enjoy activity
"The UNESCO listed Aeolian Islands are a volcanic archipelago in the Tyrrhenian Sea north of Sicily, named after the demigod of the winds Aeolus.","unesco, listed, aeolian, island, volcanic, archipelago, tyrrhenian, sea, north, sicily, named, demigod, wind, aeolus",unesco listed aeolian island volcanic archipelago tyrrhenian sea north sicily named demigod wind aeolus
The locals residing on the islands are known as Aeolians.,"local, residing, island, known, aeolian",local residing island known aeolian
"The Aeolian Islands are a popular tourist destination in the summer, and attract up to 200,000 visitors annually.Stromboli© Cpt_RonBecause the largest island is Lipari, the islands are sometimes referred to as the Lipari Islands or Lipari group.","aeolian, island, popular, tourist, destination, summer, attract, visitor, annuallystromboli, cptronbecause, largest, island, lipari, island, sometimes, referred, lipari, island, lipari, group",aeolian island popular tourist destination summer attract visitor annuallystromboli cptronbecause largest island lipari island sometimes referred lipari island lipari group
"The other islands include Vulcano, Salina, Stromboli, Filicudi, Alicudi, Panarea and Basiluzzo.Mount VesuviusMount Vesuvius is a volcano that earned its place in the history books in 79 AD, when an eruption covered the town of Pompeii under a layer of lava.","island, include, vulcano, salina, stromboli, filicudi, alicudi, panarea, basiluzzomount, vesuviusmount, vesuvius, volcano, earned, place, history, book, ad, eruption, covered, town, pompeii, layer, lava",island include vulcano salina stromboli filicudi alicudi panarea basiluzzomount vesuviusmount vesuvius volcano earned place history book ad eruption covered town pompeii layer lava
It also caused huge destruction to the town of Hercalaneum.,"also, caused, huge, destruction, town, hercalaneum",also caused huge destruction town hercalaneum
"The stratovolcano, considered one of the most dangerous in its class, could do a lot of harm to the city of Naples.","stratovolcano, considered, one, dangerous, class, could, lot, harm, city, naples",stratovolcano considered one dangerous class could lot harm city naples
The last eruption of the mountain was in 1944.,"last, eruption, mountain",last eruption mountain
"Today, the volcano and its slopes are a national park.","today, volcano, slope, national, park",today volcano slope national park
"There are a number of paths leading up the mountain, and there is even parking space at 200 metres below the summit.","number, path, leading, mountain, even, parking, space, metre, summit",number path leading mountain even parking space metre summit
"The rest of the climb has to be done by foot.Mount EtnaMount Etna is the largest of the three active volcanoes in Italy, and also one of the most active in the world.","rest, climb, done, footmount, etnamount, etna, largest, three, active, volcano, italy, also, one, active, world",rest climb done footmount etnamount etna largest three active volcano italy also one active world
"It is situated on the eastern part of the island of Sicily, near the city of Catania.","situated, eastern, part, island, sicily, near, city, catania",situated eastern part island sicily near city catania
The mountain is almost always in a state of eruption the last couple of years.,"mountain, almost, always, state, eruption, last, couple, year",mountain almost always state eruption last couple year
"The best way to get onto the mountain is from the south, via a road that leads up to the mountain.","best, way, get, onto, mountain, south, via, road, lead, mountain",best way get onto mountain south via road lead mountain
"At an altitude of 1900 metres, there is a parking lot.","altitude, metre, parking, lot",altitude metre parking lot
"There used to be a cable-car going up the mountain, but this was destroyed and hasn't yet been rebuilt.","used, cablecar, going, mountain, destroyed, nt, yet, rebuilt",used cablecar going mountain destroyed nt yet rebuilt
From the parking lot most trails lead to the Valley of Oxes (Valle del Bove).,"parking, lot, trail, lead, valley, ox, valle, del, bove",parking lot trail lead valley ox valle del bove
The first of the four active craters is not that far away.,"first, four, active, crater, far, away",first four active crater far away
"There are buses going up the mountain until the parking lot, and there are a couple of tour agencies in Taormina offering tours to the mountain.Cinque TerreVernazza, Cinque Terre© Rish_n_BenCinque Terre (literally meaning five lands) are 5 villages on the Italian Riviera.","bus, going, mountain, parking, lot, couple, tour, agency, taormina, offering, tour, mountaincinque, terrevernazza, cinque, terre, rishnbencinque, terre, literally, meaning, five, land, village, italian, riviera",bus going mountain parking lot couple tour agency taormina offering tour mountaincinque terrevernazza cinque terre rishnbencinque terre literally meaning five land village italian riviera
"They are located in the Liguria region, west of the city of La Spezia.","located, liguria, region, west, city, la, spezia",located liguria region west city la spezia
"The five villages (in order, from north to south) are Monterosso al Mare, Vernazza, Corniglia, Manarola, and Riomaggiore.The coastline, the five villages, and the surrounding hillsides together form the Cinque Terre National Park and is a UNESCO World Heritage Site.Trekking in ItalyItaly is an excellent country for treks.","five, village, order, north, south, monterosso, al, mare, vernazza, corniglia, manarola, riomaggiorethe, coastline, five, village, surrounding, hillside, together, form, cinque, terre, national, park, unesco, world, heritage, sitetrekking, italyitaly, excellent, country, trek",five village order north south monterosso al mare vernazza corniglia manarola riomaggiorethe coastline five village surrounding hillside together form cinque terre national park unesco world heritage sitetrekking italyitaly excellent country trek
"The infrastructure is outstanding, and detailed maps are available for most regions.","infrastructure, outstanding, detailed, map, available, region",infrastructure outstanding detailed map available region
Trekking.it is the web portal for Italian trekking.,"trekkingit, web, portal, italian, trekking",trekkingit web portal italian trekking
"Itineraries, accommodation, and general information.","itinerary, accommodation, general, information",itinerary accommodation general information
"In Italian.Other Sights and ActivitiesThe Pantheon is the best-preserved ancient building in Rome, and the largest unreinforced concrete dome in the world till recently.The Duomo of Florence is an amazing Church in Florence and well worth a visit.Santa Croce is a Church in Florence that has the tombs of some of the most famous people from history buried in it.St Marks Basilica (and St. Mark’s Square) is the center of the Venetian world and the Basilica itself hold the remains of Saint Mark.Make you own: Look!","italianother, sight, activitiesthe, pantheon, bestpreserved, ancient, building, rome, largest, unreinforced, concrete, dome, world, till, recentlythe, duomo, florence, amazing, church, florence, well, worth, visitsanta, croce, church, florence, tomb, famous, people, history, buried, itst, mark, basilica, st, mark, square, center, venetian, world, basilica, hold, remains, saint, markmake, look",italianother sight activitiesthe pantheon bestpreserved ancient building rome largest unreinforced concrete dome world till recentlythe duomo florence amazing church florence well worth visitsanta croce church florence tomb famous people history buried itst mark basilica st mark square center venetian world basilica hold remains saint markmake look
I prevent The Leaning tower of Pisa from falling picture.Shopping in Milan - Go shopping in the heart of all design and fashion in Milan.Alberobello is a small town famous for its dwellings made without the use of mortar called trulli.,"prevent, leaning, tower, pisa, falling, pictureshopping, milan, go, shopping, heart, design, fashion, milanalberobello, small, town, famous, dwelling, made, without, use, mortar, called, trulli",prevent leaning tower pisa falling pictureshopping milan go shopping heart design fashion milanalberobello small town famous dwelling made without use mortar called trulli
"Because the largest island is Lipari, the islands are sometimes referred to as the Lipari Islands or Lipari group.","largest, island, lipari, island, sometimes, referred, lipari, island, lipari, group",largest island lipari island sometimes referred lipari island lipari group
"The other islands include Vulcano, Salina, Stromboli, Filicudi, Alicudi, Panarea and Basiluzzo.","island, include, vulcano, salina, stromboli, filicudi, alicudi, panarea, basiluzzo",island include vulcano salina stromboli filicudi alicudi panarea basiluzzo
"Mount Vesuvius is a volcano that earned its place in the history books in 79 AD, when an eruption covered the town of Pompeii under a layer of lava.","mount, vesuvius, volcano, earned, place, history, book, ad, eruption, covered, town, pompeii, layer, lava",mount vesuvius volcano earned place history book ad eruption covered town pompeii layer lava
It also caused huge destruction to the town of Hercalaneum.,"also, caused, huge, destruction, town, hercalaneum",also caused huge destruction town hercalaneum
